primary_origin_country,title_count,total_views,avg_views_per_title,country_name
RU,22,80900000.0,3677272.727272727,Russia
US,5556,12718500000.0,2289146.86825054,United States
FI,20,38900000.0,1945000.0,Finland
AU,201,340200000.0,1692537.3134328357,Australia
GB,1007,1683900000.0,1672194.6375372394,United Kingdom
ZA,100,142300000.0,1423000.0,South Africa
CA,465,641600000.0,1379784.9462365592,Canada
AR,98,126300000.0,1288775.5102040817,Argentina
ES,357,451000000.0,1263305.3221288514,Spain
DE,299,375500000.0,1255852.8428093644,Germany
FR,382,456800000.0,1195811.5183246073,France
BE,93,102100000.0,1097849.4623655914,Belgium
IN,569,623100000.0,1095079.0861159929,India
DK,75,82100000.0,1094666.6666666667,Denmark
CN,223,236700000.0,1061434.9775784754,China
KR,910,965400000.0,1060879.120879121,South Korea
NZ,35,36300000.0,1037142.8571428572,New Zealand
NO,57,58800000.0,1031578.947368421,Norway
SE,81,83400000.0,1029629.6296296297,Sweden
CO,66,66000000.0,1000000.0,Colombia
MX,208,203800000.0,979807.6923076923,Mexico
SG,16,14300000.0,893750.0,Singapore
BR,244,212700000.0,871721.3114754099,Brazil
PL,186,157800000.0,848387.0967741936,Poland
IT,239,200400000.0,838493.7238493724,Italy
TR,154,116300000.0,755194.8051948051,Türkiye
CL,22,16400000.0,745454.5454545454,Chile
IE,36,26400000.0,733333.3333333334,Ireland
TW,58,39200000.0,675862.0689655172,Taiwan
RO,23,15400000.0,669565.2173913043,Romania
TH,195,118300000.0,606666.6666666666,Thailand
JP,1680,1015000000.0,604166.6666666666,Japan
SA,16,9200000.0,575000.0,Saudi Arabia
ID,311,173500000.0,557877.8135048231,Indonesia
NL,58,31200000.0,537931.0344827586,Netherlands
HK,84,42900000.0,510714.28571428574,Hong Kong
NG,50,19900000.0,398000.0,Nigeria
AT,21,6800000.0,323809.5238095238,Austria
PH,192,58200000.0,303125.0,Philippines
MY,124,31100000.0,250806.4516129032,Malaysia
GR,18,4100000.0,227777.77777777778,Greece
VN,20,4500000.0,225000.0,Vietnam
EG,31,6000000.0,193548.38709677418,Egypt
CZ,49,8900000.0,181632.6530612245,Czechia
