primary_origin_country,total_count,total_hours_viewed,avg_hours_viewed_per_title,country_name
CO,66,1509300000.0,22868181.818181816,Colombia
RU,22,222900000.0,10131818.181818182,Russia
US,5556,52039500000.0,9366360.691144709,United States
KR,910,8104700000.0,8906263.736263737,South Korea
MX,208,1557700000.0,7488942.307692308,Mexico
CN,223,1495700000.0,6707174.887892377,China
ES,357,2043400000.0,5723809.523809524,Spain
GB,1007,5434300000.0,5396524.329692155,United Kingdom
ZA,100,492200000.0,4922000.0,South Africa
NO,57,271200000.0,4757894.736842105,Norway
CA,465,2108600000.0,4534623.655913979,Canada
AU,201,893800000.0,4446766.169154229,Australia
BR,244,993300000.0,4070901.6393442624,Brazil
AR,98,397700000.0,4058163.2653061226,Argentina
FR,382,1419900000.0,3717015.7068062825,France
DK,75,269100000.0,3588000.0,Denmark
DE,299,1055100000.0,3528762.54180602,Germany
FI,20,66700000.0,3335000.0,Finland
TR,154,510500000.0,3314935.064935065,Türkiye
JP,1680,5483300000.0,3263869.0476190476,Japan
CL,22,70200000.0,3190909.090909091,Chile
IN,569,1732100000.0,3044112.4780316344,India
NZ,35,100300000.0,2865714.285714286,New Zealand
SE,81,232000000.0,2864197.5308641978,Sweden
IT,239,639100000.0,2674058.577405858,Italy
BE,93,237000000.0,2548387.0967741935,Belgium
PL,186,437400000.0,2351612.9032258065,Poland
SG,16,37500000.0,2343750.0,Singapore
TW,58,133100000.0,2294827.5862068967,Taiwan
TH,195,408600000.0,2095384.6153846155,Thailand
IE,36,59700000.0,1658333.3333333333,Ireland
ID,311,365300000.0,1174598.0707395498,Indonesia
NL,58,66400000.0,1144827.5862068965,Netherlands
RO,23,25600000.0,1113043.4782608696,Romania
PH,192,210200000.0,1094791.6666666667,Philippines
NG,50,48800000.0,976000.0,Nigeria
HK,84,81800000.0,973809.5238095238,Hong Kong
SA,16,14800000.0,925000.0,Saudi Arabia
AT,21,19200000.0,914285.7142857143,Austria
MY,124,90200000.0,727419.3548387097,Malaysia
EG,31,22100000.0,712903.2258064516,Egypt
GR,18,8800000.0,488888.8888888889,Greece
VN,20,8000000.0,400000.0,Vietnam
CZ,49,14000000.0,285714.28571428574,Czechia
